French,English
partie,part
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
arrivé,come
devrait,should
revoir,meet again
place,square
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
type,type
donné,given
endroit,place
façon,way
écoute,listen
dont,whose
premier,first
première,first
côté,side
pouvoir,power
sois,be
tiens,here
tellement,so much
enfant,child
point,point
suite,after
devant,in front of
vers,towards
demandé,request
droit,law
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
croire,believe
gros,large
plutôt,rather
aura,will have
bureau,office
